SellOrderId,BuyOrderId,Price,Quantity,Timestamp
4,2,95.40,52,2026-09-13 17:44:32.885
6,3,92.64,16,2026-09-13 17:44:32.889
6,5,92.76,24,2026-09-13 17:44:32.889
7,5,92.76,10,2026-09-13 17:44:32.889
4,7500,93.81,5,2026-09-13 17:44:32.890
7,7500,92.24,58,2026-09-13 17:44:32.890
7501,7503,98.97,10,2026-09-13 17:44:32.890
7504,7500,95.95,3,2026-09-13 17:44:32.890
7504,7503,100.23,73,2026-09-13 17:44:32.890
7508,7507,91.27,63,2026-09-13 17:44:32.890
7508,0,91.60,11,2026-09-13 17:44:32.890
7510,7509,98.95,8,2026-09-13 17:44:32.890
7511,0,91.60,8,2026-09-13 17:44:32.890
7512,7509,98.95,17,2026-09-13 17:44:32.890
7512,7503,100.23,17,2026-09-13 17:44:32.890
7512,7506,100.85,16,2026-09-13 17:44:32.890
7514,7519,96.37,4,2026-09-13 17:44:32.891
7512,7519,94.58,15,2026-09-13 17:44:32.891
7512,7521,94.58,28,2026-09-13 17:44:32.891
7518,7521,94.24,51,2026-09-13 17:44:32.891
7518,7522,94.24,4,2026-09-13 17:44:32.891
7513,7522,94.05,67,2026-09-13 17:44:32.891
7523,7505,92.22,10,2026-09-13 17:44:32.892
7526,0,91.60,58,2026-09-13 17:44:32.892
7526,7502,91.81,37,2026-09-13 17:44:32.892
7526,7505,92.22,5,2026-09-13 17:44:32.892
7529,7517,93.75,77,2026-09-13 17:44:32.892
7529,7524,93.83,22,2026-09-13 17:44:32.892
7515,7530,98.76,25,2026-09-13 17:44:32.892
7531,7530,100.34,42,2026-09-13 17:44:32.892
7536,7524,93.83,24,2026-09-13 17:44:32.892
7538,7524,93.83,44,2026-09-13 17:44:32.893
7538,7527,94.62,42,2026-09-13 17:44:32.893
7540,7539,96.32,15,2026-09-13 17:44:32.893
7537,7541,97.76,19,2026-09-13 17:44:32.893
7542,7539,96.32,2,2026-09-13 17:44:32.893
7542,7522,96.42,20,2026-09-13 17:44:32.893
7542,7528,97.28,7,2026-09-13 17:44:32.893
7542,7535,97.35,36,2026-09-13 17:44:32.893
7543,7544,98.54,1,2026-09-13 17:44:32.893
7537,7544,97.76,1,2026-09-13 17:44:32.893
7542,7544,96.11,26,2026-09-13 17:44:32.893
7546,7525,95.31,60,2026-09-13 17:44:32.894
7549,7545,98.50,23,2026-09-13 17:44:32.894
7549,7544,98.85,26,2026-09-13 17:44:32.894
7554,7551,97.57,76,2026-09-13 17:44:32.895
7558,7533,92.61,13,2026-09-13 17:44:32.895
7561,7525,95.31,3,2026-09-13 17:44:32.895
7561,7551,97.57,1,2026-09-13 17:44:32.895
7561,7547,98.22,9,2026-09-13 17:44:32.895
7556,7562,99.25,43,2026-09-13 17:44:32.896
7564,7547,98.22,28,2026-09-13 17:44:32.896
7565,7520,90.36,35,2026-09-13 17:44:32.896
7566,7557,93.82,27,2026-09-13 17:44:32.896
7568,7505,92.22,12,2026-09-13 17:44:32.896
7569,7547,98.22,22,2026-09-13 17:44:32.897
7571,7560,91.19,1,2026-09-13 17:44:32.897
7571,7505,92.22,59,2026-09-13 17:44:32.897
7571,7533,92.61,2,2026-09-13 17:44:32.897
7574,7572,92.76,16,2026-09-13 17:44:32.898
7576,7557,93.82,51,2026-09-13 17:44:32.898
7576,7548,93.95,20,2026-09-13 17:44:32.898
7581,7548,93.95,8,2026-09-13 17:44:32.898
7582,7548,93.95,51,2026-09-13 17:44:32.898
7582,7527,94.62,26,2026-09-13 17:44:32.898
7532,7583,100.91,1,2026-09-13 17:44:32.898
7534,7583,100.65,19,2026-09-13 17:44:32.898
7584,7527,94.62,20,2026-09-13 17:44:32.898
7584,7570,94.92,61,2026-09-13 17:44:32.898
7586,7573,91.33,53,2026-09-13 17:44:32.898
7586,7575,91.72,31,2026-09-13 17:44:32.898
7587,7570,94.92,23,2026-09-13 17:44:32.898
7587,7580,95.04,63,2026-09-13 17:44:32.898
7588,7575,91.72,4,2026-09-13 17:44:32.899
7589,7579,97.85,4,2026-09-13 17:44:32.899
7589,7585,97.92,28,2026-09-13 17:44:32.899
7590,7547,98.22,12,2026-09-13 17:44:32.899
7592,1,90.64,45,2026-09-13 17:44:32.899
7591,7595,100.67,2,2026-09-13 17:44:32.899
7534,7595,100.65,4,2026-09-13 17:44:32.899
7516,7595,100.42,34,2026-09-13 17:44:32.899
7596,7578,92.75,52,2026-09-13 17:44:32.899
7596,7572,92.76,35,2026-09-13 17:44:32.899
7594,7597,95.22,20,2026-09-13 17:44:32.899
7599,7572,92.76,32,2026-09-13 17:44:32.899
7555,7600,100.26,6,2026-09-13 17:44:32.899
7601,7580,95.04,25,2026-09-13 17:44:32.900
7602,7533,92.61,49,2026-09-13 17:44:32.900
7605,7604,92.75,54,2026-09-13 17:44:32.900
7606,7533,92.61,34,2026-09-13 17:44:32.900
7606,7604,92.75,16,2026-09-13 17:44:32.900
7606,7572,92.76,10,2026-09-13 17:44:32.900
7516,7608,100.42,25,2026-09-13 17:44:32.900
7611,7607,91.23,74,2026-09-13 17:44:32.901
7614,7520,90.36,39,2026-09-13 17:44:32.901
7614,1,90.64,6,2026-09-13 17:44:32.901
7614,7603,90.68,30,2026-09-13 17:44:32.901
7614,7612,91.20,3,2026-09-13 17:44:32.901
7606,7617,92.61,14,2026-09-13 17:44:32.901
7618,7619,97.46,21,2026-09-13 17:44:32.901
7601,7621,93.97,12,2026-09-13 17:44:32.901
7622,7613,92.03,12,2026-09-13 17:44:32.901
7622,7610,92.44,1,2026-09-13 17:44:32.901
7622,7617,93.78,35,2026-09-13 17:44:32.901
7624,7617,93.78,41,2026-09-13 17:44:32.902
7616,7625,100.08,17,2026-09-13 17:44:32.902
7563,7625,99.78,36,2026-09-13 17:44:32.902
7626,7609,91.39,7,2026-09-13 17:44:32.902
7629,7631,96.19,31,2026-09-13 17:44:32.902
7601,7633,93.97,12,2026-09-13 17:44:32.902
7624,7633,93.27,47,2026-09-13 17:44:32.902
7628,7633,91.54,8,2026-09-13 17:44:32.902
7628,7634,91.54,33,2026-09-13 17:44:32.902
7635,7634,93.69,13,2026-09-13 17:44:32.902
7629,7636,96.19,1,2026-09-13 17:44:32.902
7618,7637,97.46,17,2026-09-13 17:44:32.903
7594,7638,95.22,5,2026-09-13 17:44:32.903
7632,7638,94.73,21,2026-09-13 17:44:32.903
7635,7638,91.66,3,2026-09-13 17:44:32.903
7639,7638,95.76,16,2026-09-13 17:44:32.903
7549,7640,98.47,15,2026-09-13 17:44:32.903
7552,7640,98.26,34,2026-09-13 17:44:32.903
7531,7644,99.04,21,2026-09-13 17:44:32.903
7577,7644,99.02,22,2026-09-13 17:44:32.903
7627,7645,97.85,27,2026-09-13 17:44:32.904
7629,7646,96.19,6,2026-09-13 17:44:32.904
7643,7647,91.46,79,2026-09-13 17:44:32.904
7648,7612,91.20,14,2026-09-13 17:44:32.904
7649,7612,91.20,6,2026-09-13 17:44:32.904
7641,7651,93.86,9,2026-09-13 17:44:32.904
7641,7652,93.86,52,2026-09-13 17:44:32.904
7653,7609,91.39,37,2026-09-13 17:44:32.904
7653,7647,91.60,1,2026-09-13 17:44:32.904
7577,7655,99.02,54,2026-09-13 17:44:32.904
7516,7658,100.42,12,2026-09-13 17:44:32.904
7620,7658,100.33,79,2026-09-13 17:44:32.904
7555,7658,100.26,9,2026-09-13 17:44:32.904
7661,7659,91.15,21,2026-09-13 17:44:32.905
7661,7612,91.20,30,2026-09-13 17:44:32.905
